run_id,batch_id,condition,agent_id,domain,question,gold,answer,exact_match,llm_corrected
gaia_b01_n3_baseline_t01_1871e6,gaia_b01_n3,baseline,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_baseline_t01_1871e6,gaia_b01_n3,baseline,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_baseline_t01_1871e6,gaia_b01_n3,baseline,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_baseline_t01_21bf73,gaia_b01_n3,baseline,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_baseline_t01_21bf73,gaia_b01_n3,baseline,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_baseline_t01_21bf73,gaia_b01_n3,baseline,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_baseline_t01_d5b3ef,gaia_b01_n3,baseline,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_baseline_t01_d5b3ef,gaia_b01_n3,baseline,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_baseline_t01_d5b3ef,gaia_b01_n3,baseline,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_baseline_t02_018738,gaia_b01_n3,baseline,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_baseline_t02_018738,gaia_b01_n3,baseline,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_baseline_t02_018738,gaia_b01_n3,baseline,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_baseline_t02_a45506,gaia_b01_n3,baseline,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_baseline_t02_a45506,gaia_b01_n3,baseline,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_baseline_t02_a45506,gaia_b01_n3,baseline,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
