run_id,scenario,condition,n_agents,trial,contamination_rate,avg_context_tokens,p95_context_tokens,n_steering_responses
wa1_n3_dacs_t03_c96e88,wa1_n3,dacs,3,3,0.6666666666666666,471.3333333333333,801,9
wa1_n3_dacs_t02_03fb24,wa1_n3,dacs,3,2,0.2222222222222222,507.22222222222223,848,9
wa1_n3_dacs_t01_5b9ce1,wa1_n3,dacs,3,1,0.5555555555555556,462,830,9
wa1_n3_dacs_t04_351e29,wa1_n3,dacs,3,4,0.5555555555555556,493.55555555555554,846,9
wa1_n3_dacs_t05_e129c5,wa1_n3,dacs,3,5,0.5555555555555556,509.77777777777777,884,9
wa1_n3_dacs_t06_f16f48,wa1_n3,dacs,3,6,0.5555555555555556,450.8888888888889,708,9
wa1_n3_dacs_t08_bda75a,wa1_n3,dacs,3,8,0.7777777777777778,498.77777777777777,870,9
wa1_n3_dacs_t07_7664bf,wa1_n3,dacs,3,7,0.7777777777777778,521,1019,9
wa1_n3_dacs_t09_1e52bd,wa1_n3,dacs,3,9,0.6666666666666666,502,851,9
wa1_n3_dacs_t10_506e60,wa1_n3,dacs,3,10,0.3333333333333333,465.44444444444446,800,9
wa1_n3_baseline_t01_0521d7,wa1_n3,baseline,3,1,1.0,1093.5555555555557,2556,9
wa1_n3_baseline_t02_bf06b7,wa1_n3,baseline,3,2,0.8888888888888888,1074,2506,9
wa1_n3_baseline_t03_985682,wa1_n3,baseline,3,3,1.0,1114.3333333333333,2570,9
wa1_n3_baseline_t04_fba64a,wa1_n3,baseline,3,4,0.7777777777777778,1074.111111111111,2519,9
wa1_n3_baseline_t05_3a650e,wa1_n3,baseline,3,5,0.8888888888888888,1111.888888888889,2426,9
wa1_n3_baseline_t06_119675,wa1_n3,baseline,3,6,0.8888888888888888,1064.2222222222222,2378,9
wa1_n3_baseline_t07_1de1bf,wa1_n3,baseline,3,7,1.0,1100.4444444444443,2572,9
wa1_n3_baseline_t08_cc48c8,wa1_n3,baseline,3,8,1.0,1131.5555555555557,2676,9
wa1_n3_baseline_t09_27dba6,wa1_n3,baseline,3,9,1.0,1079.111111111111,2352,9
wa1_n3_baseline_t10_4e2957,wa1_n3,baseline,3,10,0.7777777777777778,974.6666666666666,2239,9
wa2_n5_dacs_t01_f3d0dc,wa2_n5,dacs,5,1,0.13333333333333333,624,985,15
wa2_n5_dacs_t02_af55c6,wa2_n5,dacs,5,2,0.26666666666666666,592.8666666666667,877,15
wa2_n5_dacs_t03_c9619e,wa2_n5,dacs,5,3,0.3333333333333333,612.2,1084,15
wa2_n5_dacs_t04_e0f990,wa2_n5,dacs,5,4,0.2,609.4666666666667,1032,15
wa2_n5_dacs_t05_e05d1e,wa2_n5,dacs,5,5,0.26666666666666666,600.2666666666667,956,15
wa2_n5_dacs_t06_08c3b5,wa2_n5,dacs,5,6,0.3333333333333333,609.3333333333334,981,15
wa2_n5_dacs_t07_561f8c,wa2_n5,dacs,5,7,0.26666666666666666,598.8666666666667,1014,15
wa2_n5_dacs_t08_a69c37,wa2_n5,dacs,5,8,0.2,570.9333333333333,898,15
wa2_n5_dacs_t09_2b348b,wa2_n5,dacs,5,9,0.4666666666666667,595.4666666666667,985,15
wa2_n5_dacs_t10_cbda35,wa2_n5,dacs,5,10,0.3333333333333333,596.4,931,15
wa2_n5_baseline_t01_e4006a,wa2_n5,baseline,5,1,0.9333333333333333,2067.866666666667,5178,15
wa2_n5_baseline_t02_772dc4,wa2_n5,baseline,5,2,0.8666666666666667,1889.6,4803,15
wa2_n5_baseline_t03_88f467,wa2_n5,baseline,5,3,0.9333333333333333,1965.7333333333333,4928,15
wa2_n5_baseline_t04_430264,wa2_n5,baseline,5,4,1.0,2081.4666666666667,5278,15
wa2_n5_baseline_t05_3c0513,wa2_n5,baseline,5,5,1.0,1971.7333333333333,5075,15
wa2_n5_baseline_t06_cea68b,wa2_n5,baseline,5,6,0.8666666666666667,1908.2,4860,15
wa2_n5_baseline_t07_0971a3,wa2_n5,baseline,5,7,1.0,1897.8666666666666,4833,15
wa2_n5_baseline_t09_00306d,wa2_n5,baseline,5,9,0.9230769230769231,1571.7692307692307,3768,13
wa2_n5_baseline_t08_6ed7e6,wa2_n5,baseline,5,8,0.9333333333333333,2074.2,5260,15
wa2_n5_baseline_t10_587825,wa2_n5,baseline,5,10,0.8666666666666667,1983.3333333333333,5103,15
